conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[8, 32]",4,False,32,1,0.873,0.882172131147541,0.8642578125,0.861,0.885,0.8714574898785425
"[8, 32]",4,False,32,2,0.919,0.9215291750503019,0.9165009940357853,0.916,0.922,0.9187562688064193
"[8, 32]",4,False,32,3,0.872,0.8780487804878049,0.8661417322834646,0.864,0.88,0.8709677419354839
"[8, 32]",8,True,2,0,0.5,,0.5,0.0,1.0,
"[8, 32]",8,True,2,1,0.5,,0.5,0.0,1.0,
"[8, 32]",8,True,2,2,0.5,,0.5,0.0,1.0,
"[8, 32]",8,True,2,3,0.939,0.9563409563409564,0.9229287090558767,0.92,0.958,0.9378185524974517
"[8, 32]",8,True,8,0,0.9665,0.9716885743174924,0.9614243323442137,0.961,0.972,0.9663147310206133
"[8, 32]",8,True,8,1,0.972,0.9787018255578094,0.965483234714004,0.965,0.979,0.9718026183282981
"[8, 32]",8,True,8,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 32]",8,True,8,3,0.954,0.954,0.954,0.954,0.954,0.954
